,version,app,par,dataset,variant,cycles,DRAM_rd,DRAM_wr,PeakLink,SRAM_rd,SRAM_wr,dim_0_2,dim_0_4
99,v25,SpMV,16,B_4250_0_4,HBM2_network,65197.0,890.665,0.262096,0.4357102320658926,439.9263769805359,0.26209794929214536,,4250.0
100,v25,SpMV,16,B_5000_0_2,HBM2_network,45193.0,890.105,0.446079,0.4368154360188525,439.7481025822583,0.446086783351404,5000.0,
101,v25,SDDMM,4,B_1500_0_4,HBM2_network  	DEADLOCK: 13534725,,,,,,,,
102,v25,SpMV,16,B_4250_0_2,HBM2_network,32446.0,894.783,0.526645,0.44057819145657395,441.99728780126986,0.5266596807002404,4250.0,
103,v25,SpMV,16,B_500_0_2,HBM2_network,694.0,582.602,3.0415799999999997,0.31556195965417866,263.2219020172911,3.0432276657060515,500.0,
104,v25,SpMV,16,B_4750_0_2,HBM2_network,40771.0,890.033,0.466204,0.43778666208824896,439.67633857398636,0.46621373034755104,4750.0,
105,v25,SpMV,16,B_5000_0_4,HBM2_network,88986.0,903.3439999999999,0.226552,0.4417661205133392,446.44708156339203,0.2265524914031421,,5000.0
106,v25,SpMV,16,B_5000_0_4,5000_p2p  	assertion failed: 0,,,,,,,,5000.0
107,v25,SpMV,16,B_750_0_4,HBM2_network,2337.0,774.7080000000001,1.3142200000000002,0.39067180145485664,366.1959777492512,1.3145057766367136,,750.0
108,v25,SpMV,16,B_750_0_2,HBM2_network,1253.0,724.052,2.45147,0.3774940143655228,339.00079808459697,2.45171588188348,750.0,
109,v25,SpMV,16,B_500_0_4,HBM2_network,1098.0,733.41,1.9232799999999999,0.38524590163934425,331.91256830601094,1.9234972677595628,,500.0
